group,group_title,group_subtitle,method,display_name,avg_auc_roc,avg_auc_roc_ci_low,avg_auc_roc_ci_high,n_concepts,target_reject_at_control_1,target_reject_at_control_1_ci_low,target_reject_at_control_1_ci_high,realized_control_reject_at_1,realized_control_reject_at_1_ci_low,realized_control_reject_at_1_ci_high,target_reject_at_control_5,target_reject_at_control_5_ci_low,target_reject_at_control_5_ci_high,realized_control_reject_at_5,realized_control_reject_at_5_ci_low,realized_control_reject_at_5_ci_high,target_reject_at_control_10,target_reject_at_control_10_ci_low,target_reject_at_control_10_ci_high,realized_control_reject_at_10,realized_control_reject_at_10_ci_low,realized_control_reject_at_10_ci_high
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions",batchtopk,BatchTopK SAE,0.9994833333333334,0.99865,1.0,3,0.6633333333333333,0.0,1.0,0.01,0.0,0.02,0.6666666666666666,0.0,1.0,0.02666666666666667,0.0,0.05000000000000001,0.6666666666666666,0.0,1.0,0.02666666666666667,0.0,0.05000000000000001
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions",dense,PLRDC SAE,0.99995,0.99985,1.0,3,1.0,1.0,1.0,0.01,0.0,0.02,1.0,1.0,1.0,0.02333333333333333,0.01,0.04,1.0,1.0,1.0,0.04666666666666667,0.01,0.11
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions",gatedsae,Gated SAE,0.9591500000000001,0.8779,1.0,3,0.7666666666666666,0.3,1.0,0.02,0.0,0.04,0.8666666666666667,0.6,1.0,0.05333333333333334,0.03,0.07,0.8933333333333334,0.68,1.0,0.09333333333333334,0.06,0.14
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions",relu,ReLU SAE,0.9733833333333334,0.9208500000000001,1.0,3,0.6933333333333334,0.08,1.0,0.03,0.01,0.05000000000000001,0.87,0.61,1.0,0.06333333333333334,0.03,0.12,0.9333333333333332,0.8000000000000002,1.0,0.09333333333333334,0.05000000000000001,0.12
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics",batchtopk,BatchTopK SAE,0.999225,0.99865,0.9998,2,0.995,0.99,1.0,0.015,0.01,0.02,1.0,1.0,1.0,0.04,0.03,0.05,1.0,1.0,1.0,0.04,0.03,0.05
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics",dense,PLRDC SAE,0.999925,0.99985,1.0,2,1.0,1.0,1.0,0.015,0.01,0.02,1.0,1.0,1.0,0.03,0.02,0.04,1.0,1.0,1.0,0.065,0.02,0.11
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics",gatedsae,Gated SAE,0.938725,0.8779,0.99955,2,0.65,0.3,1.0,0.01,0.0,0.02,0.8,0.6,1.0,0.045,0.03,0.06,0.8400000000000001,0.68,1.0,0.07,0.06,0.08
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics",kernel,SUR SAE,0.99945,0.9989,1.0,2,0.985,0.97,1.0,0.01,0.01,0.01,1.0,1.0,1.0,0.03,0.02,0.04,1.0,1.0,1.0,0.08,0.05,0.11
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics",relu,ReLU SAE,0.960075,0.92085,0.9993,2,0.54,0.08,1.0,0.02,0.01,0.03,0.8049999999999999,0.61,1.0,0.035,0.03,0.04,0.9,0.8,1.0,0.08,0.05,0.11
