concept,method,display_name,alpha_percent,score_aggregation,tau,calibration_control_reject_rate,realized_control_reject_rate,target_reject_rate,auc_roc,n_control_calibration,n_control_evaluation,n_target_evaluation,feature_dir,split_seed
canadian_political,imq,IMQ SAE,5,max,4.649653911590576,0.03,0.12,1.0,0.9919791666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/imq-l22-f26489,42
canadian_political,imq,IMQ SAE,10,max,4.649653911590576,0.03,0.12,1.0,0.9919791666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/imq-l22-f26489,42
canadian_political,imq,IMQ SAE,20,max,4.649653911590576,0.03,0.12,1.0,0.9919791666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/imq-l22-f26489,42
canadian_political,kernel,SUR SAE,1,max,18.926636219024658,0.01,0.06,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/kernel-l22-f26489,42
canadian_political,kernel,SUR SAE,2,max,7.133483409881592,0.02,0.12,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/kernel-l22-f26489,42
canadian_political,kernel,SUR SAE,5,max,3.1855783462524414,0.03,0.13,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/kernel-l22-f26489,42
canadian_political,kernel,SUR SAE,10,max,3.1855783462524414,0.03,0.13,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/kernel-l22-f26489,42
canadian_political,kernel,SUR SAE,20,max,3.1855783462524414,0.03,0.13,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/kernel-l22-f26489,42
canadian_political,repreg,RepReg SAE,1,max,19.817492485046387,0.01,0.05,1.0,0.9923958333333334,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/repreg-l22-f27454,42
canadian_political,repreg,RepReg SAE,2,max,7.620662450790404,0.02,0.07,1.0,0.9923958333333334,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/repreg-l22-f27454,42
canadian_political,repreg,RepReg SAE,5,max,3.0320098400115967,0.03,0.08,1.0,0.9923958333333334,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/repreg-l22-f27454,42
canadian_political,repreg,RepReg SAE,10,max,3.0320098400115967,0.03,0.08,1.0,0.9923958333333334,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/repreg-l22-f27454,42
canadian_political,repreg,RepReg SAE,20,max,3.0320098400115967,0.03,0.08,1.0,0.9923958333333334,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/repreg-l22-f27454,42
canadian_political,sigreg,SigReg SAE,1,max,19.481951236724854,0.01,0.05,1.0,0.9922395833333333,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigreg-l22-f27454,42
canadian_political,sigreg,SigReg SAE,2,max,6.992569923400879,0.02,0.1,1.0,0.9922395833333333,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigreg-l22-f27454,42
canadian_political,sigreg,SigReg SAE,5,max,2.7930970191955566,0.03,0.11,1.0,0.9922395833333333,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigreg-l22-f27454,42
canadian_political,sigreg,SigReg SAE,10,max,2.7930970191955566,0.03,0.11,1.0,0.9922395833333333,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigreg-l22-f27454,42
canadian_political,sigreg,SigReg SAE,20,max,2.7930970191955566,0.03,0.11,1.0,0.9922395833333333,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigreg-l22-f27454,42
canadian_political,sigregrepreg,SigReg + RepReg,1,max,24.400765419006348,0.01,0.06,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigregrepreg-l22-f26489,42
canadian_political,sigregrepreg,SigReg + RepReg,2,max,9.103928565979004,0.02,0.11,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigregrepreg-l22-f26489,42
canadian_political,sigregrepreg,SigReg + RepReg,5,max,4.320863723754883,0.03,0.13,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigregrepreg-l22-f26489,42
canadian_political,sigregrepreg,SigReg + RepReg,10,max,4.320863723754883,0.03,0.13,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigregrepreg-l22-f26489,42
canadian_political,sigregrepreg,SigReg + RepReg,20,max,4.320863723754883,0.03,0.13,1.0,0.9926041666666666,100,100,96,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/canadian_political/sigregrepreg-l22-f26489,42
female_subjects,batchtopk,BatchTopK SAE,1,max,67.17318153381348,0.01,0.03,0.71,0.98015,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/batchtopk-l11-f57391,42
female_subjects,batchtopk,BatchTopK SAE,2,max,56.50065994262695,0.02,0.04,0.85,0.98015,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/batchtopk-l11-f57391,42
female_subjects,batchtopk,BatchTopK SAE,5,max,26.86600971221924,0.05,0.1,1.0,0.98015,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/batchtopk-l11-f57391,42
female_subjects,batchtopk,BatchTopK SAE,10,max,15.353180885314941,0.1,0.1,1.0,0.98015,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/batchtopk-l11-f57391,42
female_subjects,batchtopk,BatchTopK SAE,20,max,5.792264938354492,0.16,0.11,1.0,0.98015,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/batchtopk-l11-f57391,42
female_subjects,dense,PLRDC SAE,1,max,39.84792709350586,0.01,0.01,0.1,0.9809,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/dense-l11-f41645,42
female_subjects,dense,PLRDC SAE,2,max,30.8087739944458,0.02,0.04,0.8,0.9809,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/dense-l11-f41645,42
female_subjects,dense,PLRDC SAE,5,max,10.721707344055176,0.05,0.08,1.0,0.9809,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/dense-l11-f41645,42
female_subjects,dense,PLRDC SAE,10,max,5.134291648864746,0.1,0.11,1.0,0.9809,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/dense-l11-f41645,42
female_subjects,dense,PLRDC SAE,20,max,1.9545973539352417,0.13,0.12,1.0,0.9809,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/dense-l11-f41645,42
female_subjects,denseimq,PLRDC + IMQ,1,max,17.79868221282959,0.01,0.07,0.76,0.9635,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denseimq-l22-f1189,42
female_subjects,denseimq,PLRDC + IMQ,2,max,10.418460845947266,0.02,0.08,0.92,0.9635,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denseimq-l22-f1189,42
female_subjects,denseimq,PLRDC + IMQ,5,max,8.58806037902832,0.05,0.09,0.93,0.9635,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denseimq-l22-f1189,42
female_subjects,denseimq,PLRDC + IMQ,10,max,6.50676965713501,0.1,0.11,0.96,0.9635,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denseimq-l22-f1189,42
female_subjects,denseimq,PLRDC + IMQ,20,max,2.0230202674865723,0.16,0.18,0.98,0.9635,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denseimq-l22-f1189,42
female_subjects,denserepreg,PLRDC + RepReg,1,max,19.222506046295166,0.01,0.07,0.8,0.971125,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denserepreg-l22-f1189,42
female_subjects,denserepreg,PLRDC + RepReg,2,max,12.164580821990967,0.02,0.08,0.94,0.971125,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denserepreg-l22-f1189,42
female_subjects,denserepreg,PLRDC + RepReg,5,max,9.092901706695557,0.05,0.09,0.95,0.971125,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denserepreg-l22-f1189,42
female_subjects,denserepreg,PLRDC + RepReg,10,max,6.714216232299805,0.1,0.11,0.97,0.971125,100,100,100,/Users/yanyuming/Downloads/GitHub/llama3_interpretability_sae/ablation_datasets-dense/female_subjects/denserepreg-l22-f1189,42
