group,group_title,group_subtitle,concepts,method,display_name,alpha_percent,avg_auc_roc,avg_auc_roc_ci_low,avg_auc_roc_ci_high,mean_target_reject_rate,target_reject_ci_low,target_reject_ci_high,mean_realized_control_reject_rate,realized_control_ci_low,realized_control_ci_high,mean_tau,n_concepts
key_mainstream,PLRDC vs Mainstream Methods,"Shared concepts: football, indian_politics, photo_captions","football,indian_politics,photo_captions",relu,ReLU SAE,20,0.9733833333333334,0.9208500000000001,1.0,0.9633333333333334,0.89,1.0,0.22999999999999998,0.15,0.29,1.7576571106910706,3
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",batchtopk,BatchTopK SAE,1,0.999225,0.99865,0.9998,0.995,0.99,1.0,0.015,0.01,0.02,19.53555202484131,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",batchtopk,BatchTopK SAE,2,0.999225,0.99865,0.9998,1.0,1.0,1.0,0.015,0.01,0.02,17.09571409225464,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",batchtopk,BatchTopK SAE,5,0.999225,0.99865,0.9998,1.0,1.0,1.0,0.04,0.03,0.05,6.726029396057129,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",batchtopk,BatchTopK SAE,10,0.999225,0.99865,0.9998,1.0,1.0,1.0,0.04,0.03,0.05,6.726029396057129,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",batchtopk,BatchTopK SAE,20,0.999225,0.99865,0.9998,1.0,1.0,1.0,0.04,0.03,0.05,6.726029396057129,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",dense,PLRDC SAE,1,0.999925,0.99985,1.0,1.0,1.0,1.0,0.015,0.01,0.02,11.341533899307251,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",dense,PLRDC SAE,2,0.999925,0.99985,1.0,1.0,1.0,1.0,0.02,0.02,0.02,8.249510288238525,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",dense,PLRDC SAE,5,0.999925,0.99985,1.0,1.0,1.0,1.0,0.03,0.02,0.04,5.294178605079651,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",dense,PLRDC SAE,10,0.999925,0.99985,1.0,1.0,1.0,1.0,0.065,0.02,0.11,3.0508323907852173,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",dense,PLRDC SAE,20,0.999925,0.99985,1.0,1.0,1.0,1.0,0.065,0.02,0.11,3.0508323907852173,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",gatedsae,Gated SAE,1,0.938725,0.8779,0.99955,0.65,0.3,1.0,0.01,0.0,0.02,6.068515300750732,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",gatedsae,Gated SAE,2,0.938725,0.8779,0.99955,0.675,0.35,1.0,0.02,0.01,0.03,5.061812520027161,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",gatedsae,Gated SAE,5,0.938725,0.8779,0.99955,0.8,0.6,1.0,0.045,0.03,0.06,3.0057968497276306,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",gatedsae,Gated SAE,10,0.938725,0.8779,0.99955,0.8400000000000001,0.68,1.0,0.07,0.06,0.08,2.311567097902298,2
key_sur,SUR vs Mainstream Methods,"Shared concepts: football, indian_politics","football,indian_politics",gatedsae,Gated SAE,20,0.938725,0.8779,0.99955,0.9,0.8,1.0,0.14,0.13,0.15,1.6841231286525726,2
