family_id,display_name,category,benchmark_priority,experiment_count,core_method_count,matched_feature_count,mean_certainty,max_certainty,core_methods_present,experiments_present
animals_pets,Animals / Pets,society_and_culture,high,7,2,7,0.9799999999999999,1.0,"dense,kernel","idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-warmup,idea5-kernel,idea6-imq"
entertainment_screen_media,Film / Television Media,society_and_culture,high,13,3,18,0.9777777777777779,1.0,"batchtopk,dense,kernel","baseline/BatchTopK,idea1-dense-success,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea2-residual-success,idea3-lejepa,idea4-lejepa-leech,idea5-kernel,idea6-imq_025_d,idea8-dense-imq,idea9-dense-repreg"
christianity,Christianity / Church Life,society_and_culture,high,13,2,18,0.9583333333333334,1.0,"dense,kernel","idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
spirituality_new_age,Spirituality / Metaphysics,society_and_culture,high,13,4,13,0.9415384615384615,0.98,"relu,gatedsae,dense,kernel","baseline/gatedsae,baseline/relusae,idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea5-kernel,idea6-imq_025_d,idea6-imq_4_d,idea8-dense-imq,idea9-dense-repreg"
lgbtq,LGBTQ Topics,society_and_culture,high,11,2,11,0.9990909090909091,1.0,"dense,kernel","idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea5-kernel,idea6-imq,idea6-imq_4_d,idea8-dense-imq,idea9-dense-repreg"
women_feminine_subjects,Women / Feminine Subjects,society_and_culture,high,16,2,16,0.98875,1.0,"topk,batchtopk","baseline/BatchTopK,baseline/main,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea2-residual-success,idea4-leech,idea4-lejepa-leech,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
interrogative_questions,Interrogative Questions,discourse_and_form,medium,17,3,18,0.9933333333333335,1.0,"relu,dense,kernel","baseline/relusae,idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
quoted_dialogue,Quoted Dialogue / Speech,discourse_and_form,medium,11,3,14,0.9499999999999998,1.0,"topk,batchtopk,kernel","baseline/BatchTopK,baseline/main,idea2-residual-success,idea3-lejepa,idea4-leech,idea4-lejepa-leech,idea5-kernel,idea6-imq,idea6-imq_025_d,idea6-imq_4_d,idea7-imq-repreg"
reference_fragments,Referential Fragments,discourse_and_form,medium,15,4,25,0.9148,1.0,"relu,gatedsae,jumprelu,kernel","baseline/gatedsae,baseline/jumprelu,baseline/relusae,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea2-residual-success,idea5-kernel,idea6-imq,idea6-imq_025_d,idea7-imq-repreg,idea8-dense-imq,idea9-dense-repreg"
function_word_patterns,Function-Word / Grammatical Patterns,discourse_and_form,medium,9,1,28,0.9821428571428571,1.0,dense,"idea1-dense-success,idea11-dense-kernel,idea11-kernel-active,idea11-kernel-pressure-scan,idea11-kernel-pressure-scan-2e-4,idea11-kernel-warmup,idea2-residual-success,idea8-dense-imq,idea9-dense-repreg"
